read_id1,read_id2
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos230534_235817_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/47815/0_9700
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos230301_236851_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111783/0_8557
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos230979_234713_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48296/0_3765
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos230738_233916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32681/0_3386
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos231158_234202_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113303/0_3115
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos226898_231320_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/155742/0_4451
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos217486_224847_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/63974/0_13492
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos231658_233255_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107359/5711_11039
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos226359_229436_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/21398/0_7068
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos225670_228994_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/118565/6127_11750
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,pos232564_236009_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53204/0_9684
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,pos127931_130532_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/67040/3450_8752
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,pos128626_132312_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/72621/5148_17048
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,pos133057_135623_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149294/412_6772
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,pos133057_135284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124125/1117_7065
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,pos221681_224849_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/54013/0_5839
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos93686_85904_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/16138/392_8853
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos93253_80231_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/136331/0_12753
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos92877_87242_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123045/0_8180
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos90593_85265_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25475/0_5574
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos89812_86011_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80369/5428_9388
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos89523_78654_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52961/0_11327
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos89596_84742_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/139765/0_5146
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos87196_80814_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/25889/0_9564
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos40248_43181_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/66628/0_6713
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos88636_86422_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8028/4027_15543
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos40248_53329_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/57963/1816_16296
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos37738_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/79545/0_8231
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos40248_48992_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20115/0_11611
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos40248_43976_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/29707/2599_7619
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos40250_47490_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65216/268_9629
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,pos32125_35921_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/105806/0_8647
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos268525_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50381/0_12035
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos270232_276384_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/50795/1770_9434
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos269039_275518_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/145214/3336_12181
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos267743_275277_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/35287/0_7904
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos268631_274013_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/31464/0_5509
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos267185_273729_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/61417/0_7413
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos267878_272695_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/38444/1558_6531
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos271485_277106_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20022/0_7043
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos271285_275265_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/150845/0_5477
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos272837_276966_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/8655/0_4308
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos266152_272467_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/102560/0_6770
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos269908_274099_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9066/0_4446
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos272764_274838_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/56581/0_3762
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos265966_270306_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/132013/0_4479
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos266808_269338_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117742/6610_9680
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos264307_271423_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/142486/0_7704
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos264061_270144_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/87583/0_6433
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos263564_268528_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/91791/0_5288
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos274427_274897_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/98810/406_5933
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,pos270444_273723_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/101474/2263_15665
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40248_43181_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/66628/0_6713
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37733_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27080/0_12255
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40248_48992_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20115/0_11611
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37733_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/141069/0_4717
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37733_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/127717/0_5748
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos31517_35921_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18826/207_13063
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40248_47119_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/3534/0_8715
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40248_53329_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/57963/1816_16296
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40248_43976_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/29707/2599_7619
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40250_47490_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65216/268_9629
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37740_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67494/393_7193
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37738_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/79545/0_8231
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos32125_35921_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/105806/0_8647
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos37733_40140_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/60862/3754_10021
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,pos40403_46256_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/71023/389_9279
