query,accuracy
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614,66.67%
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085,100.00%
pos65874_63424_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10109/0_12213,0%
pos164912_159971_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101487/0_5070,0%
pos93909_87484_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/101693/0_6545,0%
pos97412_95770_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/102366/1958_12292,0%
pos127471_124229_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/102689/6405_12133,0%
pos170800_167348_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/102994/0_8808,0%
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779,57.14%
pos37925_40148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104575/9348_13269,76.47%
pos283430_281208_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104736/5919_11420,0%
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,0%
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,33.33%
pos164460_161691_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105692/3390_8952,0%
pos15722_20125_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106906/198_5040,16.67%
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,80.00%
pos214343_211432_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/107022/980_7921,0%
pos52997_48994_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10706/3147_12439,0%
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,33.33%
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,0%
pos222567_219243_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108650/3430_7519,0%
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,42.86%
pos27742_32040_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110642/781_7998,16.67%
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,66.67%
pos43338_40249_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110905/0_12659,0.00%
pos133694_137778_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111646/6403_16477,88.89%
pos230301_236851_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111783/0_8557,31.25%
pos96773_91789_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/112325/174_5482,0%
pos247907_245802_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/112377/8118_15577,0%
pos69955_73265_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/112450/0_10117,33.33%
pos270114_265546_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113139/2643_7514,0%
pos9167_14020_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113252/0_5432,0%
pos231158_234202_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113303/0_3115,83.33%
pos1111_3544_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113663/0_3667,0%
pos178589_183919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113721/1836_7083,75.00%
pos48565_55642_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113727/1080_12653,55.56%
pos210342_215969_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113904/1718_7795,71.43%
pos161618_165575_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113985/0_7125,83.33%
pos77189_73144_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/114080/0_5807,0%
pos81635_79039_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/11475/0_11538,0%
pos107523_110370_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/115311/8583_12953,37.50%
pos36444_37629_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/115567/3158_14859,42.11%
pos202068_200281_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/115853/5207_10532,0%
pos277339_275822_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/116041/0_4912,0%
pos125726_127471_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/116898/6587_11203,0.00%
pos107671_111300_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117044/0_13616,40.00%
pos55642_52612_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117073/4213_14893,85.71%
pos206419_203540_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117507/2886_5998,0%
pos96376_91440_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117614/0_4870,0%
pos266808_269338_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/117742/6610_9680,40.00%
pos236837_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118019/0_13628,39.13%
pos72416_75686_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118041/3800_7534,80.00%
pos197487_191524_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118136/4809_11080,0%
pos122036_124214_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118226/0_4216,0%
pos147251_150291_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118245/0_5014,57.14%
pos222569_217904_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118296/5682_11148,0%
pos140158_133057_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118503/5747_16198,0%
pos147506_162783_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/11860/0_15741,62.50%
pos236687_226952_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/11873/6687_17076,0%
pos154525_158089_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/119017/1283_6116,50.00%
pos236856_229425_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/119208/0_8001,0%
pos118525_123305_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/120033/0_4867,80.00%
pos187928_189791_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/120382/5259_15756,50.00%
pos236837_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/120555/0_7935,40.00%
pos121607_114898_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/120617/0_9513,0%
pos246652_247899_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/121051/16748_20894,0.00%
pos258086_261196_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/121241/0_3277,50.00%
pos161975_159911_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12225/5017_9232,0%
pos156884_161082_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12232/0_6817,37.50%
pos245793_246259_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122543/1982_8009,0%
pos254650_258079_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122782/0_5809,71.43%
pos55642_47629_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122896/0_9839,15.38%
pos80887_83282_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/122940/8328_12177,40.00%
pos92877_87242_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123045/0_8180,0%
pos52375_48499_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123243/4360_14026,0%
pos203950_207777_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123613/0_3890,42.86%
pos264452_270773_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123756/0_6307,66.67%
pos260042_255095_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123808/2117_7163,0%
pos112673_112604_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/12407/7580_15115,0%
pos94573_97639_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124103/0_6141,75.00%
pos133057_135284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124125/1117_7065,53.85%
pos66870_62759_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124424/5056_12792,0%
pos224849_216328_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124468/0_14043,0%
"pos32806_26281_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124485/0_6794
",0%
pos48186_40248_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124547/0_12820,0.00%
pos149485_152573_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124848/0_4099,100.00%
pos62860_66858_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125261/10707_16117,28.57%
pos19684_24465_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125408/0_10863,52.38%
pos43165_40255_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/125411/2940_10308,0%
