read1_id	read2_id	read1_start	read1_end	read2_start	read2_end
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046	228199	233699	231178	233868
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230301_236851_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111783/0_8557	228199	233699	230301	236851
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos231158_234202_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113303/0_3115	228199	233699	231158	234202
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230979_234713_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48296/0_3765	228199	233699	230979	234713
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236846_239192_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/74763/0_7476	228199	233699	232786	235231
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887	228199	233699	232214	236857
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230534_235817_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/47815/0_9700	228199	233699	230534	235817
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230738_233916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32681/0_3386	228199	233699	230738	233916
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406	228199	233699	232906	234712
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos232564_236009_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53204/0_9684	228199	233699	232564	236009
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230896_236513_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61132/0_15222	228199	233699	230896	236513
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos225671_230633_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8275/0_8795	228199	233699	232098	234095
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085	pos133057_135284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124125/1117_7065	129209	130874	129301	132317
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085	pos127931_130532_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/67040/3450_8752	127875	128568	127931	130532
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085	pos133057_135623_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149294/412_6772	129209	130874	129991	131590
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos275088_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/130975/0_9890	269251	276197	275088	277341
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos268631_274013_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/31464/0_5509	267497	269253	268631	274013
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos267743_275277_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/35287/0_7904	267497	269253	267743	275277
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos268525_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50381/0_12035	267497	269253	268525	277341
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos275684_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/6632/0_11358	269251	276197	275684	277341
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos274128_277341_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28734/0_6517	269251	276197	274128	277341
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos267878_272695_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/38444/1558_6531	267497	269253	267878	272695
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos270232_276384_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/50795/1770_9434	269251	276197	270232	276384
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos272764_274838_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/56581/0_3762	269251	276197	274964	276554
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos272837_276966_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/8655/0_4308	269251	276197	272837	276966
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos271485_277106_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20022/0_7043	269251	276197	271485	277106
pos269251_276197_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/104281/0_8779	pos273635_277336_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/37314/0_10503	269251	276197	273635	277336
