read1_id	read2_id	read1_start	read1_end	read2_start	read2_end
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046	228199	233699	231178	233868
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230301_236851_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111783/0_8557	228199	233699	230301	236851
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos231158_234202_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113303/0_3115	228199	233699	231158	234202
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230979_234713_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48296/0_3765	228199	233699	230979	234713
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236846_239192_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/74763/0_7476	228199	233699	232786	235231
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos231658_233255_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/107359/5711_11039	228199	233699	231614	233255
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887	228199	233699	232214	236857
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos225670_228994_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/118565/6127_11750	228199	233699	225670	228994
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos226898_231320_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/155742/0_4451	228199	233699	226898	231320
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos226359_229436_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/21398/0_7068	228199	233699	226359	229436
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos226359_229436_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/21398/0_7068	228199	233699	229442	230307
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos233208_236854_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/30148/0_9156	228199	233699	233208	236854
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230534_235817_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/47815/0_9700	228199	233699	230534	235817
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos217486_224847_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/63974/0_13492	228199	233699	225673	230577
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236843_242332_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/9502/315_11049	228199	233699	233101	233260
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236843_242332_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/9502/315_11049	228199	233699	232776	232973
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230738_233916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32681/0_3386	228199	233699	230738	233916
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406	228199	233699	229397	232908
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406	228199	233699	232906	234712
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos232564_236009_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53204/0_9684	228199	233699	232564	236009
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230896_236513_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61132/0_15222	228199	233699	230896	236513
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230896_236513_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61132/0_15222	228199	233699	225671	229291
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos230896_236513_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61132/0_15222	228199	233699	229585	230557
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos225671_230633_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8275/0_8795	228199	233699	225671	230633
pos228202_233699_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10036/0_5614	pos225671_230633_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8275/0_8795	228199	233699	232098	234095
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085	pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791	129209	130874	127872	131557
pos129209_130874_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/10040/0_4085	pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791	127875	128568	127872	131557
